Capability Name,Process,Process Description,Sub Process,Sub-Process Description,Data Entity,Data Entity Description,Data Element,Data Element Description,Organization Units,Applications
Fund Mandate,Research and Idea Generation,,Sector & Industry Research,,Base Profile,,country,,,
Fund Mandate,Research and Idea Generation,,Sector & Industry Research,,Base Profile,,sector,,,
Fund Mandate,Research and Idea Generation,,Sector & Industry Research,,Base Profile,,industry,,,
Fund Mandate,Research and Idea Generation,,Bottom-Up Fundamental Analysis,,Financial Parameters,,revenue,,,
Fund Mandate,Research and Idea Generation,,Bottom-Up Fundamental Analysis,,Financial Parameters,,ebitda,,,
Fund Mandate,Research and Idea Generation,,Bottom-Up Fundamental Analysis,,Financial Parameters,,growth,,,
Fund Mandate,Research and Idea Generation,,Bottom-Up Fundamental Analysis,,Financial Parameters,,gross_profit_margin,,,
Fund Mandate,Research and Idea Generation,,Bottom-Up Fundamental Analysis,,Financial Parameters,,net_income,,,
Fund Mandate,Research and Idea Generation,,Bottom-Up Fundamental Analysis,,Financial Parameters,,return_on_equity,,,
Fund Mandate,Research and Idea Generation,,Bottom-Up Fundamental Analysis,,Financial Parameters,,debt_to_equity,,,
Fund Mandate,Research and Idea Generation,,Bottom-Up Fundamental Analysis,,Financial Parameters,,pe_ratio,,,
Fund Mandate,Research and Idea Generation,,Bottom-Up Fundamental Analysis,,Financial Parameters,,price_to_book,,,
Fund Mandate,Research and Idea Generation,,Bottom-Up Fundamental Analysis,,Financial Parameters,,market_cap,,,
Fund Mandate,Research and Idea Generation,,Bottom-Up Fundamental Analysis,,Financial Parameters,,dividend_yield,,,
Fund Mandate,Research and Idea Generation,,Risk Assessment of Investment Ideas,,Risk Parameters,,competitive_position,,,
Fund Mandate,Research and Idea Generation,,Risk Assessment of Investment Ideas,,Risk Parameters,,governance_quality,,,
Fund Mandate,Research and Idea Generation,,Risk Assessment of Investment Ideas,,Risk Parameters,,customer_concentration_risk,,,
Fund Mandate,Research and Idea Generation,,Risk Assessment of Investment Ideas,,Risk Parameters,,vendor_platform_dependency,,,
Fund Mandate,Research and Idea Generation,,Risk Assessment of Investment Ideas,,Risk Parameters,,regulatory_legal_risk,,,
Fund Mandate,Research and Idea Generation,,Risk Assessment of Investment Ideas,,Risk Parameters,,business_model_complexity,,,
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Fund Investment Objective Definition,"Establishes the fund?s primary investment objective, aligning risk-return expectations with investor profile, benchmark orientation, and regulatory considerations. Guides portfolio construction, performance attribution, and disclosure.",Investment Objective,Statement of the fund?s core purpose and desired outcome.,Objective Type,"Classification (e.g., Capital Appreciation, Income, Total Return, Absolute Return).","Investment Strategy Team, Portfolio Management Team, Risk Management Team, Compliance Department, Research Department, Trading Desk, Middle Office, Operations/Settlement Department, Fund Accounting and Valuation Team, Client Reporting & Investor Relations, Investment Committee, Board of Directors",Aladdin by BlackRock
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Fund Investment Objective Definition,"Establishes the fund?s primary investment objective, aligning risk-return expectations with investor profile, benchmark orientation, and regulatory considerations. Guides portfolio construction, performance attribution, and disclosure.",Investment Objective,Statement of the fund?s core purpose and desired outcome.,Objective Statement,Formal description of the investment aim and expected benefits.,"Investment Strategy Team, Portfolio Management Team, Risk Management Team, Compliance Department, Research Department, Trading Desk, Middle Office, Operations/Settlement Department, Fund Accounting and Valuation Team, Client Reporting & Investor Relations, Investment Committee, Board of Directors",Aladdin by BlackRock
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Fund Investment Objective Definition,"Establishes the fund?s primary investment objective, aligning risk-return expectations with investor profile, benchmark orientation, and regulatory considerations. Guides portfolio construction, performance attribution, and disclosure.",Investment Objective,Statement of the fund?s core purpose and desired outcome.,Return Orientation,Relative (benchmark-aware) vs. absolute (target return independent of benchmark).,"Investment Strategy Team, Portfolio Management Team, Risk Management Team, Compliance Department, Research Department, Trading Desk, Middle Office, Operations/Settlement Department, Fund Accounting and Valuation Team, Client Reporting & Investor Relations, Investment Committee, Board of Directors",Aladdin by BlackRock
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Fund Investment Objective Definition,"Establishes the fund?s primary investment objective, aligning risk-return expectations with investor profile, benchmark orientation, and regulatory considerations. Guides portfolio construction, performance attribution, and disclosure.",Performance Targets,Quantified objectives the fund seeks to achieve under normal market conditions.,Target Return (Annualized),Expected annualized net return over the strategic horizon.,"Investment Strategy Team, Portfolio Management Team, Risk Management Team, Compliance Department, Research Department, Trading Desk, Middle Office, Operations/Settlement Department, Fund Accounting and Valuation Team, Client Reporting & Investor Relations, Investment Committee, Board of Directors",Aladdin by BlackRock
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Fund Investment Objective Definition,"Establishes the fund?s primary investment objective, aligning risk-return expectations with investor profile, benchmark orientation, and regulatory considerations. Guides portfolio construction, performance attribution, and disclosure.",Performance Targets,Quantified objectives the fund seeks to achieve under normal market conditions.,Tracking Error Budget,Planned deviation (bps) vs. benchmark to enable active risk.,"Investment Strategy Team, Portfolio Management Team, Risk Management Team, Compliance Department, Research Department, Trading Desk, Middle Office, Operations/Settlement Department, Fund Accounting and Valuation Team, Client Reporting & Investor Relations, Investment Committee, Board of Directors",Aladdin by BlackRock
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Fund Investment Objective Definition,"Establishes the fund?s primary investment objective, aligning risk-return expectations with investor profile, benchmark orientation, and regulatory considerations. Guides portfolio construction, performance attribution, and disclosure.",Performance Targets,Quantified objectives the fund seeks to achieve under normal market conditions.,Information Ratio Target,Expected excess return per unit of active risk.,"Investment Strategy Team, Portfolio Management Team, Risk Management Team, Compliance Department, Research Department, Trading Desk, Middle Office, Operations/Settlement Department, Fund Accounting and Valuation Team, Client Reporting & Investor Relations, Investment Committee, Board of Directors",Aladdin by BlackRock
