Capability Name,Process,Process Description,Sub Process,Sub-Process Description,Data Entity,Data Entity Description,Data Element,Data Element Description
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Fund Investment Objective Definition,"Establishes the fund’s primary investment objective, aligning risk-return expectations with investor profile, benchmark orientation, and regulatory considerations. Guides portfolio construction, performance attribution, and disclosure.",Investment Objective,Statement of the fund’s core purpose and desired outcome.,Objective Type,"Classification (e.g., Capital Appreciation, Income, Total Return, Absolute Return)."
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Fund Investment Objective Definition,"Establishes the fund’s primary investment objective, aligning risk-return expectations with investor profile, benchmark orientation, and regulatory considerations. Guides portfolio construction, performance attribution, and disclosure.",Investment Objective,Statement of the fund’s core purpose and desired outcome.,Objective Statement,Formal description of the investment aim and expected benefits.
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Fund Investment Objective Definition,"Establishes the fund’s primary investment objective, aligning risk-return expectations with investor profile, benchmark orientation, and regulatory considerations. Guides portfolio construction, performance attribution, and disclosure.",Investment Objective,Statement of the fund’s core purpose and desired outcome.,Return Orientation,Relative (benchmark-aware) vs. absolute (target return independent of benchmark).
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Fund Investment Objective Definition,"Establishes the fund’s primary investment objective, aligning risk-return expectations with investor profile, benchmark orientation, and regulatory considerations. Guides portfolio construction, performance attribution, and disclosure.",Performance Targets,Quantified objectives the fund seeks to achieve under normal market conditions.,Target Return (Annualized),Expected annualized net return over the strategic horizon.
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Fund Investment Objective Definition,"Establishes the fund’s primary investment objective, aligning risk-return expectations with investor profile, benchmark orientation, and regulatory considerations. Guides portfolio construction, performance attribution, and disclosure.",Performance Targets,Quantified objectives the fund seeks to achieve under normal market conditions.,Tracking Error Budget,Planned deviation (bps) vs. benchmark to enable active risk.
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Fund Investment Objective Definition,"Establishes the fund’s primary investment objective, aligning risk-return expectations with investor profile, benchmark orientation, and regulatory considerations. Guides portfolio construction, performance attribution, and disclosure.",Performance Targets,Quantified objectives the fund seeks to achieve under normal market conditions.,Information Ratio Target,Expected excess return per unit of active risk.
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Fund Investment Objective Definition,"Establishes the fund’s primary investment objective, aligning risk-return expectations with investor profile, benchmark orientation, and regulatory considerations. Guides portfolio construction, performance attribution, and disclosure.",Investor Profile,Intended investor base characteristics.,Suitable Investor Category,"Retail, HNI, Institutional, Pension, Sovereign, etc."
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Fund Investment Objective Definition,"Establishes the fund’s primary investment objective, aligning risk-return expectations with investor profile, benchmark orientation, and regulatory considerations. Guides portfolio construction, performance attribution, and disclosure.",Investor Profile,Intended investor base characteristics.,Distribution Policy,Accumulation vs. distribution of income/gains.
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Fund Investment Objective Definition,"Establishes the fund’s primary investment objective, aligning risk-return expectations with investor profile, benchmark orientation, and regulatory considerations. Guides portfolio construction, performance attribution, and disclosure.",Disclosure Parameters,Publicly communicated objective-related parameters.,Prospectus Objective Text,Authorized wording for investor disclosures.
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Risk Appetite & Volatility Target Definition,"Defines the fund’s tolerance for market, credit, liquidity, and operational risk; calibrates volatility targets, drawdown limits, and concentration thresholds to align with mandate and governance.",Risk Appetite Statement,Board-approved articulation of acceptable risk levels.,Risk Tier,Conservative / Moderate / Aggressive (mapped to governance taxonomy).
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Risk Appetite & Volatility Target Definition,"Defines the fund’s tolerance for market, credit, liquidity, and operational risk; calibrates volatility targets, drawdown limits, and concentration thresholds to align with mandate and governance.",Risk Appetite Statement,Board-approved articulation of acceptable risk levels.,Risk Capacity vs. Risk Appetite,Distinction between maximum absorptive capacity and chosen appetite.
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Risk Appetite & Volatility Target Definition,"Defines the fund’s tolerance for market, credit, liquidity, and operational risk; calibrates volatility targets, drawdown limits, and concentration thresholds to align with mandate and governance.",Volatility Target,Target ex-ante or ex-post volatility range for the portfolio.,Target Volatility (s),"Annualized standard deviation target (e.g., 6–8%)."
Fund Performance,Investment Strategy and Mandate Definition,"Defines the strategic investment approach and mandate for a fund, aligning with risk appetite, asset allocation, and performance objectives. This process sets the foundation for portfolio construction and compliance with regulatory and client requirements.",Risk Appetite & Volatility Target Definition,"Defines the fund’s tolerance for market, credit, liquidity, and operational risk; calibrates volatility targets, drawdown limits, and concentration thresholds to align with mandate and governance.",Volatility Target,Target ex-ante or ex-post volatility range for the portfolio.,Volatility Measurement Window,"Rolling window used (e.g., 36 months)."
